Orthogroup	Noccaea_praecox	Cochlearia_excelsa
OG0000160	Np006G327850	g50701, g4120, g45147, g41011, g27084, g7365, g52677, g14499, g43531, g43528, g43537
OG0000160	Np003G172190	g49147, g47671
OG0000160	Np002G094170	g45898, g31367, g7023, g36380, g52886, g25655, g34541, g2884
OG0000160	Np002G095190	g36270, g12262, g7846, g25656, g7022, g9694, g49667
OG0000161	Np001G008600	g392, g9880
OG0000161	Np005G311810	g45103, g45101
OG0000161	Np002G086610	g45131
OG0000162	Np002G116280	g26821
OG0000164	Np005G275210	g23474
OG0000165	Np007G398000, Np003G163020, Np003G177100, Np003G180650, Np003G184270, Np003G134920, Np002G098680	g24260
OG0000166	Np005G320040, Np003G142830	g32988, g18507
OG0000167	Np005G289610	g24121
OG0000167	Np004G243920, Np002G111260	g24122
OG0000167	Np005G289670, Np005G289680	g17408
OG0000168	Np003G173770	g32875, g13785, g54170, g21470
OG0000168	Np007G402480	g25582, g6463
OG0000171	Np002G116080, Np004G248080	g5177
OG0000171	Np003G141590	g29297
OG0000174	Np004G217810	g26585, g53787, g43917
OG0000175	Np007G375370, Np001G053050	g6044, g13998
OG0000175	Np005G267520	g47947
OG0000178	Np002G123320, Np001G009130	g9695, g823, g53495
OG0000178	Np006G367500	g16431, g16432, g1623, g34290
OG0000178	Np002G124800	g17678, g41214
OG0000178	Np004G243400, Np001G020660	g41487, g54206
OG0000180	Np006G370740, Np006G370680	g13531
OG0000180	Np005G291320	g34299
OG0000180	Np006G370410, Np006G369740	g34297
OG0000183	Np004G227120	g45042
OG0000183	Np004G204160	g910
OG0000184	Np006G360300	g53121
OG0000184	Np011G435860	g25628
OG0000184	Np005G276430	g25240, g11530, g35054, g44991
OG0000186	Np004G215560, Np002G108280	g16331
OG0000186	Np030G439830, Np030G439990, Np006G348040	g16332, g41273, g35916, g41907
OG0000186	Np006G361310	g1666
OG0000186	Np005G292910, Np001G026290	g11646
OG0000186	Np002G117100	g16059, g53532, g30546, g24771
OG0000186	Np004G219150	g16333
OG0000187	Np005G271570, Np005G271520	g35037
OG0000188	Np007G412320	g53386, g35584, g43664, g43835
OG0000190	Np003G183360	g40442
OG0000190	Np003G183520	g45169
OG0000190	Np003G183410, Np003G183480	g45173
OG0000191	Np007G388820, Np003G178870	g31359
OG0000191	Np007G392820	g3758, g36029, g12040
OG0000192	Np002G086820, Np007G389770, Np002G076020	g50732, g27488
OG0000195	Np006G361540	g40143
OG0000195	Np001G043630	g28899, g761
OG0000195	Np006G330650, Np003G149770	g11258, g38152, g2056
OG0000195	Np005G312480	g18117
OG0000196	Np004G254380	g40674
OG0000196	Np003G165460	g27686
OG0000196	Np004G211990	g32383
OG0000196	Np004G254390	g40675
