Orthogroup	Cardamine_hirsuta	Aethionema_saxatile
OG0000398	CARHR044860, CARHR044870	As012G268810
OG0000403	CARHR052710, CARHR052720	As001G020780, As001G020790
OG0000404	CARHR130390, CARHR206830, CARHR086060	As006G144680, As002G037330
OG0000406	CARHR196180, CARHR170190	As006G136090
OG0000407	CARHR197660, CARHR198380	As009G201130, As009G201860
OG0000410	CARHR050860, CARHR050970, CARHR050980, CARHR055150, CARHR050950, CARHR050960, CARHR050930, CARHR051060, CARHR050990, CARHR051100, CARHR051090, CARHR051110, CARHR051120	As001G021670, As001G021680
OG0000411	CARHR050150	As001G022090
OG0000411	CARHR103290	As011G261620
OG0000411	CARHR252910	As004G085710
OG0000411	CARHR228790	As003G060010
OG0000412	CARHR267950	As002G046400
OG0000412	CARHR041080	As012G271680
OG0000413	CARHR088190	As011G245460
OG0000413	CARHR233890, CARHR270190	As002G048240
OG0000413	CARHR044990	As012G268650
OG0000414	CARHR025550, CARHR025540, CARHR025530, CARHR227340	As003G058750, As003G058770, As003G058760
OG0000415	CARHR196770, CARHR201040, CARHR186080, CARHR137680	As005G104640
OG0000416	CARHR125400, CARHR125380	As006G125710
OG0000416	CARHR005050	As006G127220, As008G194210
OG0000417	CARHR288610, CARHR033580, CARHR100270, CARHR033610, CARHR100280, CARHR288600, CARHR033590, CARHR288590, CARHR100310, CARHR288580	As007G163710, As008G186410
OG0000420	CARHR111270, CARHR135320, CARHR135310	As010G222670
OG0000420	CARHR111260	As001G015280
OG0000421	CARHR103170, CARHR263230, CARHR263240, CARHR263250, CARHR263220	As004G078160, As004G078150
OG0000422	CARHR009470, CARHR009480, CARHR009460, CARHR009450, CARHR222090	As008G188280, As008G188290, As008G188300
OG0000423	CARHR065650	As010G241040
OG0000423	CARHR044630	As012G269020
OG0000429	CARHR188110	As009G215310
OG0000429	CARHR202110	As002G052030
OG0000429	CARHR240310, CARHR115900	As001G004910
OG0000430	CARHR106810	As011G263500
OG0000430	CARHR243160	As001G014590
OG0000430	CARHR111960	As007G181940
OG0000431	CARHR284150	As001G019780
OG0000431	CARHR010120, CARHR010110	As008G187750
OG0000432	CARHR265630	As002G044400
OG0000435	CARHR104640	As001G004050, As006G138290
OG0000436	CARHR233780, CARHR270460, CARHR237210, CARHR110190	As011G266430, As002G048360
OG0000437	CARHR033050	As003G062850
OG0000438	CARHR253620	As004G085300
OG0000439	CARHR005540, CARHR005550	As008G194170
OG0000439	CARHR169860	As012G285510
OG0000439	CARHR125020	As006G127290
OG0000440	CARHR195730, CARHR077420	As006G136440
OG0000441	CARHR091670	As011G248660
OG0000441	CARHR091660, CARHR091650	As011G248650
OG0000446	CARHR276320	As009G219000
OG0000446	CARHR145200	As001G023650
OG0000446	CARHR014840	As008G183010
OG0000447	CARHR090020	As011G247170
OG0000447	CARHR128030	As004G081330
OG0000447	CARHR028030	As003G069220
OG0000448	CARHR174490, CARHR174500, CARHR174510, CARHR174480	As004G089550
