Orthogroup	Cardamine_hirsuta	Erysimum_linariifolium
OG0000191	CARHR107420, CARHR107440	El005G274730, El005G274430
OG0000191	CARHR293580, CARHR148110	El005G274440, El005G274460, El005G274720
OG0000192	CARHR059110	El002G105680
OG0000192	CARHR021680, CARHR116570, CARHR021690, CARHR146970	El002G105560, El002G105590, El002G105640
OG0000192	CARHR181970	El002G105660
OG0000192	CARHR181980, CARHR256500	El002G105690
OG0000193	CARHR099220	El006G309730
OG0000193	CARHR097030	El005G259130
OG0000195	CARHR119300	El006G308260
OG0000195	CARHR136200	El001G028150
OG0000195	CARHR058380	El003G186220
OG0000195	CARHR215030	El004G215670
OG0000195	CARHR191680	El001G012120
OG0000196	CARHR037140	El002G116380
OG0000200	CARHR291830, CARHR263700	El004G202190
OG0000200	CARHR005450	El002G088260
OG0000200	CARHR291820	El003G187150, El003G187490, El001G041980, El003G187480, El003G180990
OG0000202	CARHR092830, CARHR151680	El001G009350
OG0000202	CARHR024770	El005G261620, El005G261760
OG0000203	CARHR078880, CARHR078860	El005G239330, El005G239300
OG0000203	CARHR078870	El005G239360, El005G239320, El005G239280, El007G349670
OG0000203	CARHR201470	El005G238860
OG0000204	CARHR099050	El005G243840, El005G241010, El001G005350
OG0000204	CARHR084930, CARHR043980	El007G342080
OG0000204	CARHR044120	El002G082910, El002G082880
OG0000204	CARHR098530	El005G261570
OG0000204	CARHR097380	El005G259630
OG0000204	CARHR238210	El003G152770
OG0000205	CARHR149530, CARHR042890, CARHR042510	El005G273080
OG0000205	CARHR042520, CARHR042900, CARHR041590, CARHR043210, CARHR037920, CARHR263740, CARHR043200	El005G273070, El006G312030
OG0000205	CARHR219990	El002G129620
OG0000207	CARHR180390	El004G232160
OG0000207	CARHR017450	El002G100990
OG0000208	CARHR181000	El002G130450, El001G042580
OG0000208	CARHR247220	El003G143000
OG0000208	CARHR264830	El007G341810
OG0000210	CARHR102810, CARHR103310	El005G269840, El005G269890
OG0000210	CARHR102790, CARHR102800, CARHR102820	El005G269850
OG0000210	CARHR145910, CARHR145930	El001G038680, El001G038660, El002G139080
OG0000210	CARHR127190	El006G298860
OG0000213	CARHR066320, CARHR066310, CARHR066300	El004G225480
OG0000213	CARHR084950	El005G245790
OG0000213	CARHR292750, CARHR257100	El006G319120
OG0000213	CARHR292760, CARHR285920	El006G319100, El006G319080
OG0000216	CARHR229000, CARHR229580	El003G163460, El003G163490
OG0000217	CARHR284070	El004G203150, El004G202950, El004G203070
OG0000217	CARHR053930	El004G202120
OG0000218	CARHR015470	El002G099000
OG0000218	CARHR015480	El002G099030, El002G099010
OG0000218	CARHR147290	El001G040840, El001G040850
OG0000218	CARHR144080	El001G036390
OG0000219	CARHR058980	El004G216370
OG0000219	CARHR277080	El007G327350
OG0000219	CARHR266750	El007G339360
OG0000220	CARHR050490	El008G369090
OG0000220	CARHR147550, CARHR269160	El004G208200
OG0000220	CARHR145120, CARHR145130	El001G037770
OG0000222	CARHR218360	El005G268220
OG0000224	CARHR071060, CARHR071050	El004G230600
OG0000224	CARHR071040	El004G230590
OG0000224	CARHR230420	El005G267900
OG0000225	CARHR028880, CARHR028810	El002G115460
OG0000225	CARHR028830	El002G115470, El002G115510
OG0000225	CARHR028760	El002G115440
OG0000226	CARHR279920	El001G017980, El001G017970, El007G334490, El007G334480, El007G337470
OG0000226	CARHR160050, CARHR160040	El003G167740, El003G167670, El003G167790
OG0000228	CARHR064140	El004G222540, El004G222580
OG0000228	CARHR185670	El001G048740, El001G048760
OG0000228	CARHR292540	El002G108430
OG0000228	CARHR064130	El004G222520
OG0000228	CARHR064110	El004G222500
OG0000229	CARHR215270, CARHR251110	El003G153420
OG0000229	CARHR163030	El002G136110, El002G136100, El002G136060, El002G136090, El001G062630, El002G136050
OG0000230	CARHR069370	El004G228600, El004G228560
OG0000231	CARHR056350, CARHR213950, CARHR041780, CARHR214130, CARHR214120, CARHR262590	El003G188200
OG0000232	CARHR085660	El002G128560, El005G261940, El005G261950, El005G261880, El005G261890
OG0000232	CARHR105510	El005G272620
OG0000234	CARHR151000	El001G013810
OG0000234	CARHR165130	El001G026000
OG0000234	CARHR165120	El001G025990
OG0000234	CARHR165110	El001G025980
OG0000234	CARHR134140	El006G290620
OG0000234	CARHR199860	El001G068080
OG0000235	CARHR036380, CARHR036970	El002G130000
