Orthogroup	Arabidopsis_lyrata_Rawat	Cardamine_amara
OG0000157	AL2G23540, AL2G23590, AL2G23600, AL6G44790	evm.model.RL_5.213
OG0000158	AL2G28170	evm.model.RL_4.1378
OG0000158	AL6G25220, AL4G12250	evm.model.RL_6.58
OG0000161	AL2G20180	evm.model.RL_3.891
OG0000161	AL2G19970	evm.model.RL_3.896
OG0000161	nbis-gene-452	evm.model.RL_3.897
OG0000162	AL4G20750	evm.model.RL_4.640, evm.model.RL_2.640
OG0000162	AL2G25640	evm.model.RL_3.1091
OG0000162	AL2G23580	evm.model.RL_3.978, evm.model.RL_3.979, evm.model.RL_3.975, evm.model.RL_3.977, evm.model.RL_3.976
OG0000162	AL4G44040	evm.model.RL_6.2628
OG0000165	AL481U10020	evm.model.RL_7.798
OG0000167	AL7G34470	evm.model.RL_2.1517
OG0000167	AL7G34500, AL7G34510	evm.model.RL_2.1515
OG0000167	AL7G34530	evm.model.RL_2.1514
OG0000167	AL7G34490	evm.model.RL_2.1516
OG0000171	AL2G23510, AL5G45050	evm.model.RL_6.2869
OG0000171	AL1G37260	evm.model.RL_3.1439
OG0000171	AL6G25440	evm.model.RL_4.2162.1.687c86d7
OG0000172	AL5G44820	evm.model.RL_7.119
OG0000172	AL5G40850	evm.model.RL_7.1680, evm.model.RL_7.1683
OG0000173	AL3G40330, AL3G43310, AL8G24810	evm.model.RL_5.288
OG0000174	AL6G41080	evm.model.RL_7.2138
OG0000175	AL5G31720	evm.model.RL_7.1254
OG0000175	AL2G35850	evm.model.RL_3.1995
OG0000175	AL1G32900	evm.model.RL_5.1839
OG0000175	AL7G16200	evm.model.RL_2.3025
OG0000175	AL3G50830	evm.model.RL_1.2964
OG0000175	AL7G15090	evm.model.RL_2.3122
OG0000176	AL1G44860	evm.model.RL_5.2856
OG0000178	AL2G18720	evm.model.RL_8.2288
OG0000180	AL3G38360	evm.model.RL_4.643
OG0000181	AL1G53480	evm.model.RL_8.1686, evm.model.RL_2.403
OG0000184	AL3G43630	evm.model.RL_8.999, evm.model.RL_1.2918
OG0000185	AL8G35610, AL2G32620, AL1G29430	evm.model.RL_1.2420, evm.model.RL_7.527, evm.model.RL_3.588, evm.model.RL_1.1351, evm.model.RL_2.287
OG0000186	AL4G20870	evm.model.RL_5.2354, evm.model.RL_8.2135
OG0000187	nbis-gene-1736	evm.model.RL_2.2676, evm.model.RL_2.2677
OG0000188	AL8G10040, AL265U10010, AL1G30370, AL8G17400	evm.model.RL_1.2150, evm.model.RL_1.1078
OG0000189	AL7G13810	evm.model.RL_2.3227
OG0000190	AL6G47960	evm.model.RL_8.476, evm.model.RL_8.475
OG0000190	AL6G47980	evm.model.RL_8.473
OG0000190	AL6G47970	evm.model.RL_8.474.1.687c8557
OG0000190	AL1G49990	evm.model.RL_8.916
OG0000191	AL3G29510	evm.model.RL_1.1587
OG0000191	nbis-gene-1106	evm.model.RL_1.1588
OG0000192	AL1G34360	evm.model.RL_5.3624
OG0000192	AL1G34280	evm.model.RL_3.2103
OG0000195	AL4G20560	evm.model.RL_6.761
OG0000195	AL5G38180	evm.model.RL_7.686, evm.model.RL_6.2234
OG0000195	AL7G46650	evm.model.RL_2.437
OG0000195	AL2G24200	evm.model.RL_3.1018
OG0000195	AL5G21780	evm.model.RL_4.1537, evm.model.RL_7.1974
OG0000196	AL1G44080, AL1G44060	evm.model.RL_5.2252
OG0000196	AL1G42930	evm.model.RL_4.2554
OG0000196	AL1G44070	evm.model.RL_1.1858
OG0000197	AL7G43790, AL7G49120	evm.model.RL_8.487
OG0000197	AL7G46120	evm.model.RL_2.70
OG0000197	AL7G46090, AL5G28350, AL5G28190, AL7G47660, AL7G48270, AL3G52780, AL7G49150, AL7G48800, AL7G19770, AL7G49950, AL7G49700, AL7G49680, AL7G49110	evm.model.RL_2.911
OG0000200	AL1G15890	evm.model.RL_5.455
OG0000200	AL3G40220, AL3G40940, AL3G40610	evm.model.RL_1.2415, evm.model.RL_1.2410
OG0000203	AL3G14720, AL3G14710	evm.model.RL_1.381
OG0000203	AL3G14700	evm.model.RL_1.380
OG0000204	AL5G33670, AL3G35490	evm.model.RL_1.2062
OG0000205	AL4G10320	evm.model.RL_8.836
OG0000206	AL4G20410	evm.model.RL_6.475, evm.model.RL_8.541
OG0000207	AL2G39150, AL4G20460	evm.model.RL_3.2271
OG0000208	AL7G11510	evm.model.RL_2.3387
OG0000209	AL2G10720	evm.model.RL_3.58, evm.model.RL_3.243, evm.model.RL_6.273
OG0000209	AL2G10710	evm.model.RL_3.240_evm.model.RL_3.241, evm.model.RL_6.275, evm.model.RL_3.242, evm.model.RL_6.274, evm.model.RL_6.276
OG0000209	AL2G10700	evm.model.RL_7.2654
OG0000209	AL7G47630	evm.model.RL_2.160
OG0000213	AL4G12610	evm.model.RL_6.203
OG0000213	AL4G12650, AL4G12640, AL4G12670	evm.model.RL_6.204
OG0000214	AL2G28240	evm.model.RL_7.215
OG0000214	AL6G50960	evm.model.RL_8.81, evm.model.RL_8.239
