Orthogroup	Cochlearia_excelsa	Euclidium_syriacum
OG0000050	g32289	ESY7_g16182_DN3_SP0_c92.t1, ESY3_g28010_DN1_SP0_c0.t1, ESY7_g19195_DN2_SP0_c0.t1, ESY4_g22483_DN2_SP0_c0.t1
OG0000050	g4074	ESY3_g27061_DN1_SP0_c0.t1
OG0000050	g44060, g31395	ESY1_g9981_DN2_SP0_c0.t1, ESY7_g19658_DN2_SP0_c17.t1, ESY3_g29149_DN1_SP0_c0.t1, ESY9_g45386_DN2_SP0_c0.t1, ESY21_g55697_DN2_SP0_c0.t1, ESY10_g15754_DN1_SP0_c0.t1
OG0000050	g44252, g3	ESY3_g27878_DN2_SP0_c0.t1
OG0000050	g182	ESY10_g14358_DN2_SP0_c0.t1, ESY6_g47795_DN2_SP0_c0.t1, ESY5_g1710_DN1_SP0_c25.t1, ESY26_g42314_DN2_SP0_c0.t1, ESY13_g57122_DN3_SP0_c0.t1, ESY11_g53171_DN2_SP0_c0.t1, ESY3_g30031_DN2_SP0_c0.t1, ESY2_g38601_DN2_SP0_c0.t1, ESY12_g51134_DN1_SP0_c0.t1, ESY22_g40713_DN1_SP0_c0.t1, ESY6_g47477_DN1_SP0_c0.t1, ESY3_g32118_DN1_SP0_c0.t1, ESY4_g26261_DN1_SP0_c0.t1
OG0000051	g37450	ESY5_g2706_DN3_SP0_c11.t1
OG0000052	g10535	ESY2_g35343_DN2_SP0_c0.t1, ESY16_g61527_DN1_SP0_c0.t1, ESY11_g54151_DN1_SP0_c0.t1
OG0000052	g19225	ESY1_g10445_DN3_SP0_c0.t1
OG0000055	g27361	ESY2_g35826_DN2_SP0_c0.t1
OG0000055	g50182, g50184, g50186	ESY2_g35556_DN3_SP0_c0.t1
OG0000056	g40991, g44205	ESY2_g33762_DN3_SP0_c0.t1
OG0000056	g44206	ESY3_g31686_DN3_SP0_c0.t1
OG0000056	g40901	ESY2_g33671_DN2_SP0_c0.t1
OG0000058	g3196	ESY15_g65727_DN2_SP0_c85.t1
OG0000058	g33000, g41178, g43966, g49100	ESY13_g56710_DN1_SP0_c0.t1
OG0000059	g1329	ESY11_g53896_DN3_SP0_c0.t1
OG0000059	g48001, g54246, g18941, g1179	ESY8_g60186_DN3_SP0_c0.t1, ESY10_g15827_DN1_SP0_c0.t1, ESY3_g29655_DN3_SP0_c0.t1, ESY4_g22922_DN2_SP0_c0.t1, ESY8_g60955_DN2_SP0_c0.t1
OG0000059	g43705, g16122	ESY1_g9125_DN2_SP0_c0.t1
OG0000060	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647	ESY1_g11061_DN3_SP0_c0.t1, ESY7_g19007_DN3_SP0_c0.t1, ESY6_g48855_DN3_SP0_c0.t1, ESY8_g58877_DN3_SP0_c0.t1, ESY3_g31636_DN3_SP0_c0.t1, ESY6_g48811_DN3_SP0_c0.t1, ESY5_g4491_DN3_SP0_c0.t1, ESY6_g48808_DN3_SP0_c0.t1, ESY6_g48809_DN3_SP0_c0.t1, ESY9_g44877_DN3_SP0_c0.t1, ESY1_g11058_DN3_SP0_c0.t1, ESY8_g58878_DN3_SP0_c0.t1, ESY5_g4464_DN2_SP0_c0.t1
OG0000061	g23667	ESY10_g14355_DN2_SP0_c0.t1
OG0000062	g44326, g2819, g44187	ESY14_g20663_DN3_SP0_c36.t1
OG0000063	g14671, g42271, g4478, g12636, g24835, g53004, g4524, g36431, g37872, g53739, g34381, g32907, g19812, g42270, g19531, g26056, g44457, g37180, g44169, g42155, g42170, g42556, g16420, g14674, g14670, g3225, g25089, g23755, g37179, g45814, g2810, g53169, g14689, g12637, g17169, g30940, g52993, g53005, g39776, g7327, g45038, g3107, g17168, g14688, g53170, g31405, g24215, g18404, g25742, g50268, g46262, g45401, g3397, g46693, g52815, g32214, g16019, g49776, g34414, g40702, g19357, g2701, g43502, g42120, g25862, g4523, g23754, g41779, g40701, g48300	ESY17_g40075_DN1_SP0_c10.t1
