Orthogroup	Rorippa_islandica	Arabis_alpina
OG0000091	Roisl.0070s0019.1.p, Roisl.0210s1772.1.p, Roisl.0210s1773.1.p	Aa_G15590.h1.t1
OG0000091	Roisl.0214s0193.1.p	Aa_G15570.h1.t1
OG0000091	Roisl.0209s0428.1.p	Aa_G89050.h1.t1
OG0000091	Roisl.0209s0470.1.p	Aa_G614510.h1.t1, Aa_G273740.h1.t1
OG0000092	Roisl.0066s0386.1.p	Aa_G542470.h1.t1
OG0000095	Roisl.0214s0044.1.p	Aa_G54460.h1.t1
OG0000095	Roisl.0214s0031.1.p	Aa_G271110.h1.t1
OG0000096	Roisl.0074s0097.1.p, Roisl.0074s0096.1.p, Roisl.0021s0565.1.p, Roisl.0028s0009.1.p, Roisl.0028s0010.1.p, Roisl.0074s0977.1.p, Roisl.0204s0040.1.p	Aa_G32180.h1.t1
OG0000098	Roisl.0038s0014.1.p	Aa_G539290.h1.t1
OG0000098	Roisl.0038s0015.1.p, Roisl.0038s0016.1.p, Roisl.0082s0469.1.p, Roisl.0046s0209.1.p	Aa_G70590.h1.t1, Aa_G539300.h1.t1
OG0000100	Roisl.0209s0693.1.p	Aa_G65950.h1.t1
OG0000100	Roisl.0214s0220.1.p	Aa_G65760.h1.t1
OG0000102	Roisl.0082s0311.1.p, Roisl.0082s0312.1.p	Aa_G405840.h1.t1, Aa_G42060.h1.t1, Aa_G405830.h6.t1, Aa_G405830.h1.t1, Aa_G405830.h5.t1, Aa_G405830.h3.t1, Aa_G405830.h2.t1, Aa_G405830.h4.t1, Aa_G405810.h1.t1, Aa_G120830.h1.t1, Aa_G233060.h1.t1, Aa_G261510.h1.t1
OG0000102	Roisl.0082s0310.1.p	Aa_G132920.h1.t1
OG0000102	Roisl.0082s0306.1.p	Aa_G42050.h1.t1
OG0000105	Roisl.0210s0842.1.p	Aa_G117390.h1.t1
OG0000105	Roisl.0005s0217.1.p	Aa_G792870.h1.t1
OG0000105	Roisl.0050s0109.1.p	Aa_G616120.h1.t1
OG0000105	Roisl.0008s0044.1.p, Roisl.0021s0632.1.p	Aa_G65730.h1.t1
OG0000105	Roisl.0009s0283.1.p	Aa_G416120.h1.t1, Aa_G224170.h1.t1, Aa_G217250.h1.t1
OG0000107	Roisl.0115s0429.1.p	Aa_G323960.h1.t1
OG0000107	Roisl.0115s0325.1.p	Aa_G641990.h1.t1, Aa_G247880.h1.t1, Aa_G323940.h1.t1, Aa_G341070.h1.t1
OG0000108	Roisl.0017s0109.1.p	Aa_G367680.h1.t1, Aa_G576740.h1.t1
OG0000108	Roisl.0209s0353.1.p	Aa_G99370.h1.t1
OG0000108	Roisl.0074s0792.1.p	Aa_G5290.h1.t1
OG0000108	Roisl.0210s0691.1.p	Aa_G152880.h1.t1
OG0000108	Roisl.0028s0385.1.p, Roisl.0028s0408.1.p	Aa_G67360.h1.t1
OG0000110	Roisl.0023s0015.1.p	Aa_G578120.h1.t1
OG0000110	Roisl.0023s0016.1.p, Roisl.0184s0022.1.p	Aa_G32020.h1.t1
OG0000114	Roisl.0195s0034.1.p, Roisl.0082s0484.1.p	Aa_G361230.h1.t1, Aa_G861160.h1.t1, Aa_G122790.h1.t1
OG0000114	Roisl.0024s0009.1.p, Roisl.0053s0310.1.p, Roisl.0209s0095.1.p, Roisl.0006s0143.1.p, Roisl.0059s0001.1.p, Roisl.0184s0082.1.p, Roisl.0059s0002.1.p, Roisl.0184s0098.1.p, Roisl.0056s0052.1.p, Roisl.0179s0081.1.p	Aa_G327480.h1.t1, Aa_G743610.h1.t1, Aa_G305670.h1.t1, Aa_G152040.h1.t1, Aa_G300900.h1.t1, Aa_G718680.h1.t1
OG0000116	Roisl.0056s0063.1.p, Roisl.0019s0048.1.p, Roisl.0046s0709.1.p	Aa_G358570.h1.t1
OG0000117	Roisl.0191s0190.1.p, Roisl.0191s0189.1.p, Roisl.0191s0191.1.p	Aa_G62330.h1.t1
OG0000117	Roisl.0191s0196.1.p	Aa_G436170.h1.t1, Aa_G187350.h1.t1, Aa_G349960.h1.t1
OG0000122	Roisl.0080s0688.1.p	Aa_G551010.h1.t1, Aa_G550960.h1.t1
OG0000122	Roisl.0080s0689.1.p	Aa_G592730.h1.t1
OG0000122	Roisl.0080s0694.1.p	Aa_G379620.h1.t1
OG0000122	Roisl.0080s0684.1.p	Aa_G592740.h1.t1
OG0000123	Roisl.0021s0620.1.p	Aa_G655250.h1.t1, Aa_G655250.h2.t1
OG0000125	Roisl.0082s0686.1.p, Roisl.0082s0679.1.p	Aa_G459870.h1.t1
OG0000125	Roisl.0091s1034.1.p	Aa_G257560.h1.t1
OG0000125	Roisl.0013s0044.1.p	Aa_G166390.h1.t1
OG0000127	Roisl.0210s1950.1.p	Aa_G552180.h1.t1
