Orthogroup	Aethionema_saxatile	Cardamine_hirsuta
OG0000368	As003G073600, As003G073590	CARHR058590, CARHR058530, CARHR058550, CARHR245740, CARHR245750
OG0000370	As007G153440	CARHR017550, CARHR017540, CARHR017510, CARHR216970, CARHR185400, CARHR232710
OG0000371	As005G099710, As005G099720	CARHR025430, CARHR142610, CARHR002610, CARHR005930, CARHR011690, CARHR002600, CARHR005940, CARHR011680, CARHR142620
OG0000372	As006G132540, As006G132550	CARHR058020, CARHR234800, CARHR234790, CARHR289410, CARHR289420
OG0000373	As006G149560	CARHR143570, CARHR111740
OG0000374	As012G273470, As012G273550	CARHR041650, CARHR259760
OG0000377	As001G021080	CARHR051720
OG0000377	As001G021090	CARHR011030
OG0000382	As006G122900	CARHR001910
OG0000382	As008G188710	CARHR009120
OG0000383	As003G069230	CARHR028090, CARHR028100
OG0000383	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380	CARHR028050, CARHR028080
OG0000384	As011G247740	CARHR043000, CARHR043010
OG0000386	As001G025230, As001G025220, As011G256850	CARHR147230, CARHR147220
OG0000386	As012G276900, As012G276880	CARHR163190, CARHR260720, CARHR163200
OG0000390	As001G012620	CARHR153480, CARHR190050, CARHR179180
OG0000390	As011G251840	CARHR095050, CARHR092870, CARHR151230
OG0000391	As007G158340, As007G158380, As007G158390, As007G158370, As007G158360	CARHR022710
OG0000392	As010G221170	CARHR159760
OG0000392	As010G221200, As010G221190, As010G221180	CARHR214620, CARHR214610, CARHR159770
OG0000396	As001G026970	CARHR292620
OG0000396	As001G026990, As001G027000, As001G027010	CARHR292570, CARHR292580
OG0000398	As012G268810	CARHR044860, CARHR044870
OG0000403	As001G020780, As001G020790	CARHR052710, CARHR052720
OG0000404	As006G144680, As002G037330	CARHR130390, CARHR206830, CARHR086060
OG0000406	As006G136090	CARHR196180, CARHR170190
OG0000407	As009G201130, As009G201860	CARHR197660, CARHR198380
OG0000410	As001G021670, As001G021680	CARHR050860, CARHR050970, CARHR050980, CARHR055150, CARHR050950, CARHR050960, CARHR050930, CARHR051060, CARHR050990, CARHR051100, CARHR051090, CARHR051110, CARHR051120
OG0000411	As001G022090	CARHR050150
OG0000411	As011G261620	CARHR103290
OG0000411	As004G085710	CARHR252910
OG0000411	As003G060010	CARHR228790
OG0000412	As002G046400	CARHR267950
OG0000412	As012G271680	CARHR041080
OG0000413	As011G245460	CARHR088190
OG0000413	As002G048240	CARHR233890, CARHR270190
OG0000413	As012G268650	CARHR044990
OG0000414	As003G058750, As003G058770, As003G058760	CARHR025550, CARHR025540, CARHR025530, CARHR227340
OG0000415	As005G104640	CARHR196770, CARHR201040, CARHR186080, CARHR137680
OG0000416	As006G125710	CARHR125400, CARHR125380
OG0000416	As006G127220, As008G194210	CARHR005050
OG0000417	As007G163710, As008G186410	CARHR288610, CARHR033580, CARHR100270, CARHR033610, CARHR100280, CARHR288600, CARHR033590, CARHR288590, CARHR100310, CARHR288580
OG0000420	As010G222670	CARHR111270, CARHR135320, CARHR135310
OG0000420	As001G015280	CARHR111260
OG0000421	As004G078160, As004G078150	CARHR103170, CARHR263230, CARHR263240, CARHR263250, CARHR263220
OG0000422	As008G188280, As008G188290, As008G188300	CARHR009470, CARHR009480, CARHR009460, CARHR009450, CARHR222090
OG0000423	As010G241040	CARHR065650
OG0000423	As012G269020	CARHR044630
OG0000429	As009G215310	CARHR188110
OG0000429	As002G052030	CARHR202110
OG0000429	As001G004910	CARHR240310, CARHR115900
OG0000430	As011G263500	CARHR106810
OG0000430	As001G014590	CARHR243160
OG0000430	As007G181940	CARHR111960
OG0000431	As001G019780	CARHR284150
OG0000431	As008G187750	CARHR010120, CARHR010110
OG0000432	As002G044400	CARHR265630
OG0000435	As001G004050, As006G138290	CARHR104640
OG0000436	As011G266430, As002G048360	CARHR233780, CARHR270460, CARHR237210, CARHR110190
OG0000437	As003G062850	CARHR033050
OG0000438	As004G085300	CARHR253620
OG0000439	As008G194170	CARHR005540, CARHR005550
OG0000439	As012G285510	CARHR169860
OG0000439	As006G127290	CARHR125020
OG0000440	As006G136440	CARHR195730, CARHR077420
OG0000441	As011G248660	CARHR091670
