Orthogroup	Odontarrhena_muralis	Arabidopsis_arenosa
OG0000175	Om006G257450	jg15013
OG0000175	Om004G137100	jg3242
OG0000175	Om002G082840	jg8854
OG0000176	Om001G007740, Om001G007770, Om001G007760, Om004G147890, Om004G147900, Om004G142560, Om007G292150	jg31636, jg31639
OG0000176	Om007G291450	jg31640, jg31643
OG0000176	Om008G352670, Om008G352700, Om008G352660, Om008G352690, Om007G291500	jg31598, jg31645, jg31650
OG0000180	Om006G256410, Om003G119900	jg16351
OG0000183	Om008G341930	jg19302
OG0000185	Om001G041450, Om008G356330, Om008G319330	jg1441, jg14078, jg1761, jg12153
OG0000185	Om008G337930	jg13729, jg14412
OG0000186	Om007G285030	jg17588
OG0000186	Om004G150540, Om005G218260	jg10477, jg10194
OG0000187	Om001G028150, Om001G030060, Om001G033230, Om001G030100, Om008G336940, Om001G028140	jg9234, jg9235
OG0000187	Om001G028260, Om001G028280	jg9230
OG0000189	Om006G250870	jg8491
OG0000189	Om001G039670	jg3298
OG0000189	Om001G037310	jg8629
OG0000189	Om007G308480, Om007G308250, Om007G308860	jg8611
OG0000189	Om001G038960	jg8545
OG0000189	Om001G037320	jg13671
OG0000190	Om008G353940	jg7702
OG0000190	Om008G355670	jg7703
OG0000191	Om005G197150	jg25728
OG0000191	Om002G064270	jg27860, jg27859
OG0000192	Om005G203480	jg30670
OG0000192	Om005G203440	jg3362
OG0000192	Om005G203410	jg30665, jg30667, jg30662, jg30666, jg30668
OG0000193	Om002G071740, Om002G071690	jg26576, jg26577
OG0000193	Om008G326490	jg26294
OG0000193	Om005G206290	jg26297, jg26298, jg26296, jg26288, jg26290, jg26289, jg14328, jg14329
OG0000195	Om003G119760	jg19387, jg15712, jg15648
OG0000195	Om007G285150	jg2098, jg12245, jg5984, jg14060
OG0000196	Om005G185020	jg31432
OG0000197	Om004G163020	jg28098
OG0000200	Om005G182720	jg14818
OG0000201	Om002G070200	jg26412, jg26411, jg26410
OG0000201	Om002G070210	jg26413, jg26414
OG0000201	Om002G070220	jg26422
OG0000201	Om002G070290	jg26418, jg26417
OG0000202	Om002G064090	jg25880
OG0000202	Om020G374490, Om011G365230	jg27019, jg27030, jg27031, jg27015, jg27014, jg27013, jg26463, jg27878, jg26503, jg26506, jg26505, jg26501, jg26502, jg26504, jg26509, jg26729
OG0000203	Om003G095370, Om002G055150	jg24349, jg24348, jg24346, jg24347
OG0000203	Om002G046450, Om002G046460	jg9421, jg9422, jg24303, jg5021, jg5008, jg5007, jg5020, jg5022
OG0000204	Om002G070990	jg26496
OG0000207	Om008G331300	jg2551
OG0000207	Om004G136280	jg3556, jg2081, jg1979, jg2083, jg12504, jg2076, jg17554, jg2082, jg2084
OG0000207	Om004G132790	jg16693
OG0000207	Om005G197960, Om005G197970	jg30217
OG0000208	Om001G040250	jg21871
OG0000209	Om005G228040, Om005G227980	jg416, jg418
OG0000209	Om005G228080	jg414, jg7742, jg33120, jg7741
OG0000210	Om001G032060, Om001G032100	jg13160, jg13155, jg13158, jg13161, jg12338, jg12339, jg5057, jg13159, jg13157
OG0000210	Om007G278540	jg18412, jg18409, jg18408
OG0000210	Om007G278560	jg18405, jg20943
OG0000213	Om004G141230, Om005G208800	jg2970, jg2971
OG0000213	Om002G053370	jg24982
OG0000213	Om001G036460, Om001G036440, Om001G036450	jg16737, jg16738, jg16741, jg16740
OG0000214	Om007G281030	jg2493
OG0000214	Om004G145430	jg7999
OG0000214	Om004G136700, Om004G136680, Om004G145470	jg8001
OG0000216	Om001G007580	jg10317
OG0000216	Om001G008700	jg10266
OG0000216	Om003G116290, Om001G008720, Om006G250260	jg10316, jg10315
OG0000217	Om001G001710, Om001G001540, Om001G001620, Om001G001600	jg1027, jg1032, jg1047, jg7385
OG0000218	Om005G195550	jg29979, jg29981
OG0000218	Om005G195570, Om005G195580	jg29982
OG0000218	Om001G010890, Om001G010900, Om001G010920	jg13337
OG0000218	Om004G138180	jg11388
OG0000218	Om006G241660	jg12942
OG0000219	Om005G213260	jg2178, jg2182, jg2180, jg2179
OG0000219	Om008G350180, Om006G237850, Om006G237870	jg22095, jg22096
OG0000220	Om007G276730, Om007G315520	jg760
OG0000220	Om004G175360, Om004G175350, Om004G175400	jg3970
OG0000221	Om002G088910	jg23304
OG0000224	Om004G134640, Om004G134630	jg3422, jg3420
OG0000224	Om005G225780	jg571, jg570
OG0000225	Om007G289790	jg31470, jg31479, jg31471, jg31469
OG0000225	Om007G289810	jg31478, jg31472
OG0000225	Om007G289780, Om007G289840, Om007G289820, Om007G289860, Om007G289850	jg31468
OG0000225	Om007G289830, Om007G289770	jg31477
OG0000226	Om003G089750	jg30960, jg31379, jg31377
OG0000229	Om001G026580	jg32894, jg33326
OG0000231	Om006G259610	jg12412
OG0000232	Om004G153390, Om018G374050, Om002G054380	jg25056
OG0000233	Om002G075710	jg32554
OG0000233	Om001G036910	jg1869
OG0000234	Om006G252380	jg15449
OG0000234	Om006G252400	jg15448
OG0000234	Om006G252410	jg15447
OG0000234	Om008G332130	jg19118
OG0000234	Om004G161230	jg5170
OG0000235	Om002G062850, Om002G062830	jg27497, jg27499, jg27501, jg25726, jg25725, jg27017, jg21538
OG0000235	Om002G062820	jg32771, jg25724
OG0000236	Om002G070320	jg26426
OG0000237	Om008G343820, Om007G307970	jg12894
OG0000237	Om005G218340	jg1321
OG0000240	Om001G023550, Om001G017850	jg32293
OG0000242	Om002G081640	jg27565
OG0000242	Om005G193910	jg29880
OG0000242	Om005G194120	jg29883
OG0000242	Om005G193920, Om005G193930	jg29879
OG0000244	Om001G008070	jg10370
OG0000244	Om008G354370	jg7736
OG0000244	Om001G008060	jg10371
OG0000244	Om008G354350, Om003G110630	jg7735
OG0000248	Om008G353070	jg7640
OG0000248	Om011G365210, Om020G374470	jg1267
OG0000248	Om003G119420	jg15619
OG0000249	Om008G336610	jg18816
OG0000249	Om008G336590, Om008G336600	jg18819
OG0000249	Om006G255030	jg15247
OG0000250	Om005G208240, Om005G208260, Om005G208250	jg2620, jg2621, jg2622
OG0000251	Om008G345500	jg14119
OG0000251	Om006G266370, Om005G218220	jg32810
OG0000252	Om008G334420, Om008G334430, Om003G122070, Om004G175220	jg4033, jg27620, jg4035, jg33335, jg33336, jg33337, jg4032, jg4031, jg4036, jg4034
OG0000253	Om004G150660	jg17414
OG0000254	Om002G064970	jg32916, jg16978, jg17665, jg1307, jg26917, jg983, jg985
OG0000254	Om008G330440	jg7439
OG0000254	Om004G175010	jg16868
OG0000256	Om008G329770	jg13826, jg19307
OG0000256	Om008G331560, Om008G331580, Om008G331570, Om008G331550	jg21390, jg21205, jg21204, jg27046
OG0000256	Om008G329670	jg19308
OG0000256	Om008G329810	jg17079
OG0000257	Om001G002940	jg33267
OG0000257	Om002G053540	jg24983
OG0000258	Om008G334140	jg13318, jg13319
OG0000258	Om008G327620, Om006G251330	jg13321
OG0000258	Om006G272550	jg13320
OG0000260	Om004G174020	jg17320
OG0000260	Om004G173960	jg2101, jg2102, jg31434
OG0000264	Om008G355250	jg7787
OG0000264	Om008G355310	jg7882
OG0000264	Om004G160560, Om004G160570, Om004G160550	jg7883, jg7885, jg7884, jg7892, jg7931, jg7886
OG0000264	Om008G355300	jg7893
OG0000265	Om007G304710, Om007G298190	jg5787
OG0000265	Om005G198690, Om008G341180, Om008G357770	jg20789
OG0000266	Om003G128150	jg31826, jg15562, jg15586, jg15559
OG0000267	Om004G134370, Om005G189100, Om002G050140	jg17980, jg18002, jg17981, jg17978, jg18001, jg17979, jg17999
OG0000268	Om006G274870	jg13018
OG0000268	Om008G334210	jg716
OG0000268	Om004G176390	jg3910
OG0000268	Om006G253920	jg15354
OG0000270	Om001G041100	jg8879
OG0000270	Om001G033200	jg8360
OG0000270	Om004G138430	jg3222
OG0000272	Om007G315350	jg13269
OG0000273	Om007G280490	jg32950
OG0000274	Om006G245790	jg22908
OG0000274	Om008G354900	jg17166, jg14405, jg14407, jg33561
OG0000274	Om007G282440	jg17967
OG0000275	Om002G070170, Om002G070160	jg26401
OG0000276	Om008G337850	jg11537, jg11540
