Orthogroup	Cardamine_glauca	Noccaea_praecox
OG0000218	Cg002G075340	Np001G027320, Np001G027310
OG0000219	Cg003G095240, Cg003G111060	Np003G187720, Np001G006210, Np001G006190, Np001G008170
OG0000220	Cg003G103090	Np003G158780
OG0000221	Cg005G182530	Np007G412340, Np007G412330
OG0000222	Cg008G315660, Cg004G151260, Cg001G038580	Np001G027170, Np002G091350, Np003G181880, Np001G027180, Np001G036270, Np003G167420
OG0000224	Cg007G247160	Np002G121630, Np002G121680, Np002G121650, Np002G121690
OG0000226	Cg003G113210	Np001G068820, Np001G002660, Np001G003000
OG0000226	Cg004G128760, Cg006G218020	Np004G243800, Np004G243970, Np004G243900, Np001G063350, Np001G063340
OG0000228	Cg008G307350	Np004G230940
OG0000228	Cg002G069120	Np004G230880
OG0000228	Cg007G271280	Np002G084540
OG0000228	Cg007G271290	Np002G084530
OG0000229	Cg003G078340, Cg014G331290, Cg008G315850, Cg014G331310, Cg014G331300, Cg003G078330	Np004G245990, Np004G246960, Np004G247090, Np004G247150, Np004G246980
OG0000229	Cg001G010780	Np005G309490
OG0000229	Cg007G261570	Np007G377500, Np007G377590, Np006G330770
OG0000230	Cg007G276410	Np002G077290
OG0000231	Cg007G260410	Np004G203320
OG0000232	Cg004G121460, Cg004G149470, Cg004G149480, Cg004G150500, Cg004G149520	Np006G352410, Np006G352420
OG0000234	Cg002G051410	Np001G058680
OG0000234	Cg002G051420	Np001G058670
OG0000234	Cg005G166930	Np006G333910
OG0000234	Cg008G293710	Np003G140390
OG0000236	Cg001G028350, Cg004G141830, Cg004G144380, Cg004G139210	Np007G382490
OG0000236	Cg004G139220	Np007G382520, Np007G382570
OG0000236	Cg003G086380	Np003G177320
OG0000237	Cg007G261810, Cg006G203590	Np007G404060, Np011G435600, Np006G353300, Np009G431940, Np002G099080, Np003G175580, Np002G097080, Np006G342880, Np006G359350, Np008G429030, Np007G401030, Np005G294080, Np004G224840, Np005G294060, Np007G399830, Np003G170910
OG0000240	Cg005G180190, Cg002G062910	Np003G187630
OG0000242	Cg006G231910	Np004G242760
OG0000244	Cg001G019150	Np005G286400
OG0000246	Cg002G073880	Np001G034750
OG0000247	Cg006G202680	Np007G410840
OG0000248	Cg007G252860	Np002G112170
OG0000248	Cg001G034790	Np005G313980, Np005G313900
OG0000249	Cg005G169790	Np003G177600, Np006G338400
OG0000250	Cg007G270580	Np002G085780
OG0000252	Cg007G252790, Cg007G252760	Np003G179240
OG0000254	Cg004G134710	Np007G383010
OG0000254	Cg005G190180	Np001G046190
OG0000257	Cg004G143430, Cg004G143470, Cg004G143460, Cg007G247040, Cg007G247060, Cg006G198470, Cg006G198480, Cg001G035030, Cg004G126080, Cg001G001780	Np007G377760
OG0000258	Cg002G072340	Np001G022690
OG0000258	Cg003G104860	Np003G156210
OG0000258	Cg002G072320	Np001G049130, Np001G022660, Np001G022680
OG0000264	Cg003G079930, Cg003G094080, Cg003G094890, Cg003G079050	Np003G185830
OG0000264	Cg003G079060, Cg003G094880	Np003G185810, Np003G185770, Np003G185800
