Orthogroup	Cochlearia_excelsa	Cardamine_glauca
OG0000336	g44587	Cg007G273370
OG0000338	g31209, g27091, g31190, g27095	Cg006G236460, Cg007G252750, Cg006G236370, Cg007G253150
OG0000339	g25359	Cg006G244870
OG0000339	g52289	Cg005G159770
OG0000340	g38215	Cg005G162340
OG0000340	g37505	Cg005G162320
OG0000342	g53972	Cg001G042370
OG0000344	g10089, g10092, g10980	Cg008G305710, Cg008G305700
OG0000345	g27193	Cg006G233290
OG0000347	g12309	Cg004G127590
OG0000347	g36126	Cg007G261820, Cg007G261880, Cg007G261870, Cg007G261860, Cg007G261890, Cg007G261900, Cg007G261920, Cg007G261910, Cg007G261930, Cg007G261840, Cg007G264260, Cg007G264270, Cg007G264250, Cg007G264200, Cg007G264220, Cg007G264180, Cg007G264360, Cg007G264320, Cg007G261830, Cg007G264380, Cg007G264140, Cg007G264280, Cg007G264350, Cg007G264230, Cg007G264290, Cg007G264160, Cg007G264150, Cg007G264240, Cg007G264420, Cg007G264330, Cg007G264300, Cg007G264310, Cg007G264340, Cg007G261850, Cg007G264370, Cg007G264170, Cg007G264190, Cg007G264210, Cg007G264130
OG0000348	g15621, g48271, g41887, g15633	Cg011G329030
OG0000349	g18231	Cg001G004450
OG0000352	g31677	Cg006G229000, Cg007G250610
OG0000353	g32289	Cg001G022220, Cg002G056550, Cg008G295330
OG0000355	g17931	Cg006G203840, Cg006G203800, Cg006G203790, Cg006G203810
OG0000355	g38274	Cg005G187890
OG0000356	g35508, g18523, g37782, g4812, g4800, g4814	Cg008G306390, Cg008G306550
OG0000358	g49447, g30863, g26927	Cg008G289900, Cg006G242200
OG0000358	g29557, g39719	Cg008G319440, Cg008G289890
OG0000358	g45514	Cg008G289880
OG0000359	g32419, g32420, g50521	Cg005G172180
OG0000360	g9656	Cg003G114870
OG0000361	g7378	Cg004G127210
OG0000362	g49471	Cg006G241490
OG0000364	g53150	Cg004G140890
OG0000364	g16505, g24639, g16374, g23229	Cg002G068570
OG0000364	g35057, g16424, g35445, g37807	Cg004G150900, Cg004G149760
OG0000368	g22842	Cg001G002850
OG0000368	g16342	Cg001G002860
OG0000368	g47982	Cg001G002840
OG0000368	g47983	Cg001G002830
OG0000369	g49585	Cg006G238280, Cg003G107530
OG0000369	g28769	Cg002G061220
OG0000370	g47536	Cg001G015500
OG0000371	g7650, g11474	Cg006G220780, Cg005G158480
OG0000371	g3821	Cg005G158470
OG0000372	g17100, g17096, g17097, g17099	Cg001G013540, Cg001G013550, Cg001G013560
OG0000374	g36851, g36855, g36853, g36852, g36854, g54187	Cg006G203210, Cg006G203180, Cg006G203200, Cg006G203220, Cg006G203250, Cg006G203260, Cg006G203240, Cg006G203230, Cg006G203190, Cg006G198280, Cg006G198270, Cg006G198290
OG0000377	g41000	Cg007G249720
OG0000379	g41816	Cg007G257560, Cg002G060420, Cg003G107790, Cg001G025230, Cg005G186070, Cg008G310010
OG0000382	g41120	Cg007G254420
OG0000382	g31165	Cg006G236900
OG0000383	g50490	Cg006G218010, Cg006G217980
OG0000384	g12121	Cg004G131950
OG0000386	g2365	Cg002G053290, Cg002G063780
OG0000386	g10579	Cg002G072490
OG0000387	g37493, g37492	Cg005G162800
OG0000387	g50869	Cg005G162500
OG0000388	g16088, g53768, g43755	Cg001G011290
OG0000390	g13288	Cg002G062740
OG0000391	g27516	Cg006G223580
OG0000392	g2587	Cg002G056620, Cg002G056600
OG0000392	g11310	Cg001G037860, Cg001G037810
