Orthogroup	Noccaea_praecox	Alyssum_gmelinii
OG0000121	Np004G2331000, Np003G1581500	Ag038G4148800, Ag002G0147900
OG0000122	Np003G1580100	Ag004G0720700
OG0000122	Np003G1578500	Ag004G0718500
OG0000124	Np003G1311000, Np002G1109100	Ag031G3394500
OG0000124	Np007G3982000	Ag049G4732800
OG0000125	Np006G3601100	Ag013G1613200
OG0000125	Np004G2519400	Ag034G3743800
OG0000125	Np004G1951700	Ag001G0065100
OG0000125	Np004G1951500	Ag001G0066100, Ag001G0065800
OG0000125	Np007G3813400	Ag027G3062400
OG0000127	Np003G1510700	Ag004G0605400
OG0000127	Np001G0565000	Ag031G3386800, Ag039G4310500
OG0000127	Np003G1268100	Ag014G1898000
OG0000127	Np003G1523500, Np001G0457300, Np006G3598300	Ag013G1609800
OG0000128	Np001G0645400	Ag031G3245400, Ag031G3245300, Ag031G3245200
OG0000128	Np001G0645200	Ag031G3242400
OG0000128	Np001G0644700	Ag031G3246800, Ag031G3247000, Ag031G3246900
OG0000128	Np001G0644900	Ag031G3246700
OG0000128	Np001G0644500	Ag031G3249200, Ag031G3249100, Ag031G3248800, Ag031G3351900, Ag031G3350800, Ag031G3350000, Ag031G3350700, Ag002G0204500, Ag031G3349900
OG0000129	Np002G0866100	Ag013G1553100, Ag013G1550500, Ag013G1552900, Ag016G2401500, Ag013G1550300
OG0000130	Np006G3485400	Ag074G5269900
OG0000132	Np001G0060000	Ag048G4640200, Ag048G4640300, Ag048G4637800, Ag048G4638900, Ag048G4638800, Ag048G4639900, Ag048G4638300, Ag048G4640000, Ag004G0468700, Ag004G0468400, Ag004G0468800
OG0000132	Np005G3117900, Np005G3137200, Np005G3137300, Np005G3137400	Ag039G4243000, Ag039G4243200, Ag039G4241900
OG0000132	Np001G0060200	Ag022G2700300
OG0000134	Np003G1378400	Ag013G1506600
OG0000137	Np003G1602700	Ag014G1999700
OG0000137	Np003G1602000, Np003G1601500, Np003G1600700	Ag004G0742000
OG0000137	Np003G1602100	Ag004G0742300
OG0000137	Np003G1602400	Ag004G0742500, Ag004G0742600
OG0000140	Np005G2883300	Ag014G2136000
OG0000140	Np001G0509300, Np001G0524900	Ag038G4173300, Ag022G2672800, Ag033G3478700
OG0000150	Np002G1102100, Np006G3465100, Np005G2952600	Ag002G0131000, Ag068G5224900, Ag025G2934900
OG0000151	Np001G0586800	Ag031G3356700
OG0000151	Np006G3339200	Ag039G4248200
OG0000151	Np001G0586700	Ag031G3356800
OG0000151	Np001G0563500	Ag031G3389200
OG0000151	Np006G3374700	Ag039G4314300
OG0000151	Np003G1404000	Ag013G1463800
OG0000152	Np011G4358800	Ag048G4576400
OG0000154	Np004G1998200	Ag001G0045800
OG0000154	Np004G1963300, Np004G1963200	Ag001G0045400, Ag001G0045500, Ag001G0045200, Ag001G0045100, Ag001G0045300, Ag001G0049100, Ag002G0262200
OG0000155	Np007G3980100, Np003G1771100, Np003G1806600, Np003G1630300, Np003G1842800, Np002G0986800, Np003G1349300	Ag083G5410000, Ag013G1376100, Ag034G3868600, Ag022G2729400, Ag031G3154900, Ag013G1368700, Ag016G2361100, Ag067G5183100
OG0000155	Np004G2326000, Np002G0924800, Np007G3958500, Np003G1811300, Np003G1729400, Np004G2275700, Np004G2136600, Np006G3676300	Ag013G1584700
OG0000157	Np005G3104600, Np005G3104800, Np005G3107600	Ag013G1573100, Ag013G1573300, Ag013G1572900, Ag013G1573200, Ag013G1510300, Ag013G1510500, Ag013G1510800, Ag013G1510100, Ag013G1750400, Ag013G1750900, Ag013G1750300, Ag013G1751200, Ag013G1750800, Ag013G1744300, Ag007G0933400, Ag022G2711500, Ag022G2708900, Ag013G1473500
OG0000157	Np006G3343300	Ag046G4529800, Ag013G1572800
OG0000158	Np001G0700500	Ag011G1092000
OG0000158	Np003G1292700	Ag014G2168100, Ag027G3073200, Ag027G3072400
OG0000158	Np002G0878300	Ag014G2085500
OG0000158	Np002G0807400, Np002G0811700, Np005G2956600, Np001G0506900, Np001G0492300, Np001G0486500, Np001G0283500, Np001G0283800, Np001G0282900, Np007G4061200, Np004G2036800, Np004G2174600, Np004G1934200, Np002G0909800, Np002G0811800	Ag014G1900800
OG0000159	Np003G1303600, Np003G1531700	Ag011G1125800, Ag002G0098700, Ag002G0120500
OG0000159	Np002G0996800	Ag002G0124600
OG0000160	Np007G3739600	Ag042G4405700
OG0000160	Np005G2740000	Ag068G5221600
OG0000160	Np003G1560700	Ag004G0692900
OG0000160	Np002G0711700	Ag048G4572800
OG0000162	Np006G3577700	Ag013G1672500
OG0000162	Np001G0244500	Ag011G1166800
OG0000162	Np001G0244800	Ag014G2098100
OG0000162	Np006G3578300	Ag013G1672600
OG0000163	Np003G1731400, Np002G1026100	Ag042G4391500, Ag038G4161600
OG0000164	Np007G4010900, Np004G2250900, Np008G4276900, Np009G4319300, Np006G3505100	Ag025G2923700, Ag048G4709500
OG0000164	Np003G1679900, Np005G3087000, Np006G3688300, Np004G2138100, Np003G1793900	Ag060G5011600, Ag086G5422700
OG0000164	Np004G2250800	Ag006G0821000
OG0000164	Np001G0316300, Np002G1011400, Np002G1016200, Np001G0433600, Np005G2941300, Np004G2582200, Np001G0316200, Np001G0316100, Np002G1011500, Np004G2239900	Ag039G4325700
OG0000165	Np002G1201100, Np002G1201400, Np002G1201300, Np002G1201200	Ag014G1928400
OG0000167	Np007G3810100, Np007G3810500	Ag014G2104000, Ag014G2103200, Ag014G2102400
OG0000167	Np007G3877000, Np007G3840900, Np007G3843900	Ag003G0383500, Ag003G0383700
OG0000169	Np004G2522900	Ag031G3259300, Ag031G3259700, Ag031G3259400, Ag027G3044600, Ag013G1504100, Ag013G1503900
OG0000170	Np001G0667900	Ag031G3214600
OG0000170	Np006G3241500	Ag003G0319700, Ag003G0319800, Ag003G0320300, Ag003G0320600, Ag003G0320500, Ag003G0320200
OG0000171	Np003G1641800	Ag020G2575200
OG0000171	Np002G1239200	Ag024G2869500
OG0000171	Np007G3768900	Ag044G4495800
OG0000171	Np003G1582900	Ag004G0721800
OG0000171	Np005G2770300	Ag010G1018000
OG0000173	Np005G2621400	Ag011G1059500
