Orthogroup	Arabidopsis_arenosa	Cochlearia_excelsa
OG0000269	jg14405, jg14407	g2910, g2936
OG0000269	jg17967	g39974
OG0000270	jg29673, jg609, jg537	g41044
OG0000270	jg581	g40880
OG0000274	jg27362	g47338, g33147, g14472, g44486, g21632, g42257, g21852, g21844, g36809, g10312
OG0000274	jg13700	g45298
OG0000274	jg2060	g14940
OG0000275	jg1130	g22735
OG0000277	jg8879	g18216, g23060, g18323
OG0000277	jg30517	g50111, g27445, g31888
OG0000278	jg12172, jg12224	g14307
OG0000278	jg12188, jg12186, jg12174, jg10987, jg10984, jg12178, jg12175	g46809, g46812, g46827
OG0000279	jg17236	g40527, g40528, g40529
OG0000282	jg33448, jg10319, jg10323	g47412
OG0000282	jg10315, jg10316, jg10317, jg10273, jg10321, jg10322, jg10320, jg10266	g53736
OG0000283	jg20347, jg6911	g22201, g30263, g20011, g19891, g2550, g43075, g53035, g26096, g3992, g52989, g16553, g53516
OG0000285	jg10428	g47372
OG0000285	jg9725	g23645
OG0000285	jg2004	g42046
OG0000286	jg25017, jg25016, jg25015	g44985, g44982, g44984
OG0000288	jg10768, jg12948, jg10773, jg16953, jg32309, jg32082, jg21200, jg6957, jg1836, jg1038, jg17280, jg1037, jg17281	g54300, g26198, g32873, g23186, g32999, g49511, g22605, g3280, g3645, g4167
OG0000288	jg26083	g24937
