Orthogroup	Arabidopsis_arenosa	Euclidium_syriacum
OG0000072	jg12109	ESY3_g28498_DN2_SP0_c0.t1
OG0000073	jg32690	ESY4_g26580_DN3_SP0_c0.t1
OG0000073	jg7033, jg32034, jg11572, jg10937, jg20466, jg13828, jg30444, jg16551, jg24432, jg32702, jg1433, jg11779, jg26607	ESY4_g22225_DN3_SP0_c0.t1, ESY3_g28765_DN1_SP0_c0.t1
OG0000075	jg26472, jg32685, jg32682, jg32692, jg8427	ESY12_g52268_DN2_SP0_c19.t1
OG0000075	jg21503	ESY4_g26264_DN2_SP0_c18.t1, ESY4_g26270_DN3_SP0_c11.t1
OG0000075	jg32683, jg20353, jg933	ESY1_g11598_DN2_SP0_c38.t1, ESY8_g60767_DN2_SP0_c0.t1, ESY3_g32315_DN3_SP0_c83.t1, ESY3_g32310_DN2_SP0_c12.t1, ESY3_g32312_DN1_SP0_c66.t1, ESY4_g26050_DN2_SP0_c0.t1
OG0000075	jg1000, jg934	ESY4_g26060_DN2_SP0_c0.t1, ESY4_g26061_DN3_SP0_c0.t1
OG0000076	jg8362	ESY4_g26855_DN3_SP0_c0.t1, ESY4_g26853_DN2_SP0_c0.t1
OG0000077	jg2240	ESY16_g61756_DN3_SP0_c0.t1
OG0000079	jg7377	ESY8_g59723_DN2_SP0_c0.t1
OG0000081	jg26776, jg302, jg5265, jg31440, jg25892, jg12998, jg14036, jg6463	ESY9_g44119_DN3_SP0_c0.t1, ESY7_g18625_DN3_SP0_c96.t1
OG0000086	jg12260	ESY10_g14581_DN2_SP0_c0.t1, ESY12_g50856_DN3_SP0_c0.t1
OG0000086	jg12270	ESY10_g14582_DN1_SP0_c0.t1
OG0000086	jg12281	ESY7_g19367_DN1_SP0_c0.t1, ESY9_g43340_DN2_SP0_c0.t1, ESY9_g43341_DN3_SP0_c0.t1, ESY7_g19406_DN2_SP0_c0.t1, ESY7_g19368_DN2_SP0_c0.t1
OG0000086	jg2128, jg2129	ESY2_g35232_DN2_SP0_c0.t1
OG0000089	jg6235	ESY6_g50131_DN3_SP8_c0.t1
OG0000089	jg17972	ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58770_DN3_SP0_c0.t1
OG0000089	jg5068	ESY7_g18326_DN3_SP8_c0.t1
OG0000089	jg20749	ESY7_g16559_DN3_SP8_c0.t1
OG0000089	jg10485	ESY9_g43361_DN3_SP8_c0.t1
OG0000089	jg30528	ESY5_g3995_DN3_SP3_c0.t1
OG0000089	jg3235	ESY2_g34829_DN3_SP8_c0.t1
OG0000090	jg20882	ESY15_g64509_DN2_SP0_c0.t1, ESY4_g22477_DN2_SP0_c0.t1, ESY4_g26657_DN1_SP0_c0.t1
OG0000095	jg17272	ESY7_g19280_DN2_SP0_c0.t1, ESY7_g17327_DN3_SP0_c0.t1, ESY7_g19279_DN2_SP0_c34.t1, ESY7_g19285_DN2_SP0_c0.t1, ESY7_g19282_DN3_SP0_c38.t1, ESY7_g18924_DN3_SP0_c58.t1, ESY7_g19283_DN2_SP0_c13.t1, ESY7_g19278_DN2_SP0_c40.t1
OG0000095	jg17289	ESY3_g31037_DN3_SP0_c0.t1, ESY3_g31041_DN2_SP0_c0.t1
OG0000095	jg17270, jg17392, jg16998, jg17271	ESY7_g17177_DN3_SP0_c0.t1
OG0000096	jg25957	ESY6_g49250_DN3_SP0_c0.t1
OG0000096	jg27435	ESY6_g49252_DN1_SP0_c0.t1, ESY11_g54414_DN1_SP0_c0.t1
OG0000096	jg14860	ESY3_g29685_DN2_SP0_c0.t1
OG0000097	jg11451, jg27712, jg11787	ESY49_g12647_DN2_SP0_c0.t1, ESY21_g55569_DN2_SP0_c0.t1
OG0000097	jg11589	ESY5_g2179_DN2_SP0_c0.t1, ESY4_g23717_DN1_SP0_c0.t1
OG0000097	jg21181	ESY10_g15554_DN1_SP0_c0.t1
OG0000098	jg27107	ESY7_g16092_DN2_SP0_c0.t1, ESY7_g16160_DN2_SP0_c0.t1, ESY6_g50064_DN2_SP0_c0.t1, ESY5_g5060_DN3_SP0_c0.t1
OG0000098	jg31283, jg17594, jg11987	ESY7_g18472_DN3_SP0_c0.t1
OG0000098	jg2306	ESY11_g53834_DN2_SP0_c0.t1
OG0000098	jg27471, jg27452	ESY8_g58377_DN1_SP0_c0.t1, ESY8_g58376_DN2_SP0_c0.t1, ESY16_g62256_DN3_SP0_c0.t1, ESY8_g58375_DN1_SP0_c0.t1
OG0000098	jg17595, jg31284	ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1, ESY7_g17569_DN3_SP0_c0.t1
OG0000098	jg27222, jg27460, jg27464, jg17593, jg16875	ESY11_g53833_DN2_SP0_c0.t1
OG0000100	jg1373, jg1405, jg472, jg476, jg477, jg1396, jg1380, jg1381, jg1001, jg492, jg11338, jg777, jg27782, jg515, jg471, jg475	ESY1_g11939_DN1_SP0_c0.t1
OG0000101	jg27510	ESY13_g57677_DN1_SP0_c0.t1
OG0000102	jg7820	ESY7_g16540_DN3_SP0_c0.t1, ESY7_g16444_DN3_SP0_c0.t1, ESY7_g16443_DN3_SP0_c0.t1
OG0000102	jg7815, jg7812, jg7813	ESY7_g16539_DN1_SP0_c0.t1, ESY7_g16475_DN3_SP0_c0.t1, ESY7_g16538_DN2_SP0_c0.t1, ESY6_g49637_DN2_SP0_c0.t1
OG0000102	jg7818, jg11552	ESY7_g16536_DN3_SP0_c0.t1
OG0000105	jg1379	ESY5_g2214_DN1_SP0_c94.t1
OG0000105	jg12094	ESY14_g20044_DN3_SP0_c0.t1, ESY3_g32007_DN1_SP0_c0.t1, ESY7_g17046_DN1_SP0_c0.t1
OG0000107	jg17559, jg17556, jg26263, jg26161, jg26159, jg26158, jg26157, jg26160, jg26163	ESY4_g23035_DN3_SP0_c29.t1
OG0000109	jg17478, jg27454, jg27058, jg17336, jg17450, jg13895, jg1859, jg2002, jg16476, jg16484, jg29790, jg9963, jg2091, jg11738, jg13945	ESY26_g42254_DN3_SP0_c0.t1, ESY15_g65580_DN3_SP0_c0.t1
OG0000110	jg9173	ESY9_g43985_DN3_SP0_c0.t1
OG0000110	jg25795, jg13800, jg13799, jg25794	ESY6_g47757_DN3_SP0_c0.t1, ESY22_g40729_DN3_SP0_c0.t1
OG0000114	jg10774, jg6734, jg12947, jg16945, jg14091, jg21201, jg6956, jg16952, jg32081, jg32308, jg21203, jg10179, jg13973	ESY1_g8019_DN3_SP0_c0.t1, ESY1_g9122_DN3_SP0_c0.t1, ESY3_g29866_DN2_SP0_c0.t1, ESY1_g6559_DN2_SP0_c10.t1, ESY1_g8020_DN3_SP0_c0.t1, ESY12_g51930_DN3_SP0_c0.t1, ESY1_g11590_DN2_SP0_c0.t1, ESY2_g38712_DN2_SP0_c0.t1
OG0000114	jg6733	ESY1_g8939_DN3_SP0_c0.t1, ESY10_g13678_DN3_SP0_c0.t1, ESY7_g17909_DN3_SP0_c0.t1, ESY9_g42538_DN3_SP0_c15.t1, ESY1_g8018_DN1_SP0_c0.t1
OG0000116	jg6813, jg6561	ESY13_g57384_DN2_SP0_c0.t1, ESY9_g43004_DN2_SP0_c0.t1
OG0000116	jg16608, jg16609	ESY11_g52731_DN3_SP0_c0.t1, ESY21_g55783_DN3_SP0_c0.t1, ESY17_g39178_DN3_SP0_c0.t1, ESY17_g40097_DN3_SP0_c0.t1, ESY3_g28062_DN3_SP0_c0.t1
OG0000116	jg27190	ESY6_g46511_DN2_SP0_c13.t1, ESY8_g59869_DN2_SP0_c0.t1
OG0000116	jg32193	ESY11_g53666_DN2_SP0_c0.t1
OG0000117	jg30936	ESY11_g54277_DN1_SP0_c0.t1
OG0000117	jg30922, jg30923, jg30924	ESY5_g2024_DN3_SP0_c0.t1
