Orthogroup	Cardamine_amara	Erysimum_linariifolium
OG0000258	evm.model.RL_7.2389	El001G040630, El001G040650
OG0000258	evm.model.RL_7.2388	El001G040670
OG0000260	evm.model.RL_8.722	El006G317920, El001G008590
OG0000260	evm.model.RL_5.2925	El007G349370
OG0000264	evm.model.RL_8.323	El001G003610
OG0000264	evm.model.RL_8.410, evm.model.RL_8.409	El001G004650, El001G004660
OG0000264	evm.model.RL_8.324	El001G003620
OG0000265	evm.model.RL_3.1127, evm.model.RL_5.2471	El005G251540, El003G190960, El006G310460, El002G124910, El003G178950
OG0000266	evm.model.RL_8.1428	El001G030730
OG0000266	evm.model.RL_7.1153, evm.model.RL_7.1139.1.687c84b8	El002G136470, El004G205750
OG0000266	evm.model.RL_3.560	El006G284240
OG0000266	evm.model.RL_7.312	El001G032330
OG0000268	evm.model.RL_7.2613	El001G037050
OG0000268	evm.model.RL_3.272	El004G198500
OG0000268	evm.model.RL_7.2615	El001G037020
OG0000268	evm.model.RL_4.3350	El001G081300
OG0000268	evm.model.RL_7.967	El001G024850
OG0000270	evm.model.RL_2.3440	El003G142380
OG0000270	evm.model.RL_2.2997	El003G147700
OG0000271	evm.model.RL_4.3215	El002G111590
OG0000271	evm.model.RL_1.889	El005G245000
OG0000271	evm.model.RL_4.3212	El001G004610, El001G004620, El001G079640
