Orthogroup	Erysimum_linariifolium	Aethionema_saxatile
OG0000358	El007G359240, El001G072540, El001G072550	As008G196390
OG0000359	El006G296860	As012G275420
OG0000360	El007G323130, El007G323140	As005G119730
OG0000362	El004G212950	As009G205230
OG0000362	El004G212880	As006G134970
OG0000363	El002G126200, El002G126220, El007G351340	As009G209420
OG0000368	El003G144810, El003G144790	As003G073560, As003G073580
OG0000368	El004G215830, El003G144770, El003G144760, El003G144750	As003G073600, As003G073590
OG0000369	El002G090430	As006G145250, As010G224820, As006G129520, As008G192050
OG0000370	El003G185270, El002G101090, El002G101100, El002G101070, El001G014550, El003G159300, El003G159280	As007G153440
OG0000371	El002G111190, El006G280660, El002G085130, El006G280670, El006G280650	As005G099710, As005G099720
OG0000372	El003G157140, El003G173700, El003G157160, El003G157170, El003G173780	As006G132540, As006G132550
OG0000373	El007G354680, El042G374880, El011G372030, El008G370960, El008G371140, El008G368190, El008G367050, El008G367680, El030G373760	As006G149560
OG0000377	El004G200530	As001G021080
OG0000382	El002G084270, El001G002380	As006G122900
OG0000382	El002G091920	As008G188710
OG0000383	El002G114440, El002G119180	As003G069230
OG0000383	El002G114400, El002G114390, El002G114430	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380
OG0000384	El002G137770, El002G137730, El002G137740, El002G137760	As011G247740
OG0000386	El001G040470, El001G040480	As001G025230, As001G025220, As011G256850
OG0000386	El001G023910	As012G276900, As012G276880
OG0000390	El001G056560	As001G012620
OG0000390	El005G257120	As011G251840
OG0000391	El002G107410, El002G107390	As007G158340, As007G158380, As007G158390, As007G158370, As007G158360
OG0000392	El003G176130	As010G221170
OG0000392	El003G176120, El003G176430	As010G221200, As010G221190, As010G221180
OG0000396	El001G043390	As001G026970
OG0000396	El001G043470, El001G043530, El001G043540, El001G043570, El001G043490, El001G043520	As001G026990, As001G027000, As001G027010
OG0000398	El002G140190	As012G268810
OG0000402	El004G203740, El006G281800	As001G032230, As003G065580, As005G099570, As012G279030, As011G256760, As002G038770, As002G036320, As008G185740, As009G212360, As007G178600, As002G037860, As007G176730, As007G176740, As007G176750, As005G112780, As012G277040, As008G191550, As009G207420, As009G210350
OG0000403	El004G201290	As001G020780, As001G020790
OG0000404	El001G023000, El006G294700, El005G247060	As012G276100
OG0000406	El001G063970, El001G031450, El003G186520, El005G237360	As006G136090
OG0000407	El001G007400, El001G065720, El001G078960, El001G078950	As009G201130, As009G201860
OG0000411	El004G198670	As001G022090
OG0000411	El005G270540	As011G261620
OG0000411	El001G005390	As004G085710
OG0000411	El003G163700	As003G060010
OG0000412	El007G337740	As002G046400
OG0000412	El002G135360	As012G271680
OG0000413	El005G249460	As011G245460
