Orthogroup	Erysimum_linariifolium	Cardamine_amara
OG0000228	El004G222520	evm.model.RL_3.1490
OG0000228	El004G222500	evm.model.RL_3.1486
OG0000229	El003G153420	evm.model.RL_8.305, evm.model.RL_8.256, evm.model.RL_8.257
OG0000229	El002G136110, El002G136100, El002G136060, El002G136090, El001G062630, El002G136050	evm.model.RL_2.330, evm.model.RL_7.1066
OG0000231	El003G188200	evm.model.RL_2.361
OG0000234	El001G013810	evm.model.RL_7.1848
OG0000234	El001G026000	evm.model.RL_7.860
OG0000234	El001G025990	evm.model.RL_7.861
OG0000234	El001G025980	evm.model.RL_7.862
OG0000234	El006G290620	evm.model.RL_6.2046
OG0000234	El001G068080	evm.model.RL_4.2267
OG0000237	El005G266480, El003G180350	evm.model.RL_2.732
OG0000242	El005G272850	evm.model.RL_1.2752, evm.model.RL_1.2751
OG0000244	El003G163990	evm.model.RL_2.1690
OG0000246	El007G366210	evm.model.RL_8.1884, evm.model.RL_4.1792, evm.model.RL_4.2138
OG0000248	El001G027800	evm.model.RL_7.722
OG0000249	El001G010190, El001G010200	evm.model.RL_6.1770
OG0000251	El007G351370, El007G351690	evm.model.RL_3.915
OG0000252	El002G140500	evm.model.RL_3.611
OG0000256	El001G005740	evm.model.RL_8.503, evm.model.RL_8.501, evm.model.RL_8.502, evm.model.RL_8.500
OG0000256	El002G127370, El007G348390, El007G354980, El007G348590, El007G348510, El007G348440, El007G348630, El007G348410, El007G348460	evm.model.RL_2.275
OG0000256	El006G289100	evm.model.RL_6.2167
OG0000257	El005G269290	evm.model.RL_6.895
OG0000258	El001G040630, El001G040650	evm.model.RL_7.2389
OG0000258	El001G040670	evm.model.RL_7.2388
OG0000260	El006G317920, El001G008590	evm.model.RL_8.722
OG0000260	El007G349370	evm.model.RL_5.2925
OG0000264	El001G003610	evm.model.RL_8.323
OG0000264	El001G004650, El001G004660	evm.model.RL_8.410, evm.model.RL_8.409
OG0000264	El001G003620	evm.model.RL_8.324
OG0000265	El005G251540, El003G190960, El006G310460, El002G124910, El003G178950	evm.model.RL_3.1127, evm.model.RL_5.2471
OG0000266	El001G030730	evm.model.RL_8.1428
OG0000266	El002G136470, El004G205750	evm.model.RL_7.1153, evm.model.RL_7.1139.1.687c84b8
OG0000266	El006G284240	evm.model.RL_3.560
OG0000266	El001G032330	evm.model.RL_7.312
OG0000268	El001G037050	evm.model.RL_7.2613
OG0000268	El004G198500	evm.model.RL_3.272
OG0000268	El001G037020	evm.model.RL_7.2615
OG0000268	El001G081300	evm.model.RL_4.3350
OG0000268	El001G024850	evm.model.RL_7.967
OG0000270	El003G142380	evm.model.RL_2.3440
OG0000270	El003G147700	evm.model.RL_2.2997
OG0000271	El002G111590	evm.model.RL_4.3215
OG0000271	El005G245000	evm.model.RL_1.889
